ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-01-04,Headset Logitech,Acessórios,11.0,2090.0
2,2023-01-20,Café Pelé 500g,Alimentos,10.0,150.0
3,2023-01-23,Headset Logitech,Acessórios,15.0,2850.0
4,2023-02-07,Sucrilhos,Alimentos,1.0,12.0
5,2023-02-11,Café Pelé 500g,Alimentos,6.0,90.0
6,2023-02-22,Lasanha Congelada 500g,Alimentos,14.0,420.0
7,2023-02-24,Sucrilhos,Alimentos,11.0,132.0
8,2023-02-26,Geforce RTX 5090,Eletrônicos,14.0,49000.0
9,2023-03-02,Notebook,Eletrônicos,1.0,4500.0
10,2023-03-08,Pinhão 1kg,Alimentos,9.0,225.0
11,2023-03-10,Pinhão 1kg,Alimentos,3.0,75.0
12,2023-03-17,Computador Gamer,Eletrônicos,11.0,60500.0
13,2023-03-30,Geforce RTX 5090,Eletrônicos,17.0,59500.0
14,2023-04-13,Headset Logitech,Acessórios,5.0,950.0
15,2023-04-13,Computador Gamer,Eletrônicos,5.0,27500.0
16,2023-04-18,Computador Gamer,Eletrônicos,12.0,66000.0
17,2023-04-23,Headset Logitech,Acessórios,12.0,2280.0
18,2023-05-01,Sucrilhos,Alimentos,5.0,60.0
19,2023-05-05,Pinhão 1kg,Alimentos,15.0,375.0
20,2023-05-12,Pinhão 1kg,Alimentos,18.0,450.0
21,2023-05-12,Notebook,Eletrônicos,7.0,31500.0
22,2023-05-19,Sucrilhos,Alimentos,7.0,84.0
23,2023-05-25,Notebook,Eletrônicos,10.0,45000.0
24,2023-05-28,Café Pelé 500g,Alimentos,11.0,165.0
25,2023-06-01,Notebook,Eletrônicos,18.0,81000.0
26,2023-06-09,Notebook,Eletrônicos,10.0,45000.0
27,2023-06-14,Café Pelé 500g,Alimentos,2.0,30.0
28,2023-06-18,Geforce RTX 5090,Eletrônicos,4.0,14000.0
29,2023-07-10,Café Pelé 500g,Alimentos,9.0,135.0
30,2023-07-11,Notebook,Eletrônicos,2.0,9000.0
31,2023-07-15,Pinhão 1kg,Alimentos,18.0,450.0
32,2023-07-21,Lasanha Congelada 500g,Alimentos,9.0,270.0
33,2023-07-21,Café Pelé 500g,Alimentos,7.0,105.0
34,2023-07-27,Geforce RTX 5090,Eletrônicos,12.0,42000.0
35,2023-07-30,Notebook,Eletrônicos,3.0,13500.0
36,2023-08-08,Notebook,Eletrônicos,7.0,31500.0
37,2023-08-29,Sucrilhos,Alimentos,9.0,108.0
38,2023-09-01,Computador Gamer,Eletrônicos,14.0,77000.0
39,2023-09-20,Computador Gamer,Eletrônicos,3.0,16500.0
40,2023-09-28,Headset Logitech,Acessórios,1.0,190.0
41,2023-10-03,Computador Gamer,Eletrônicos,3.0,16500.0
42,2023-10-08,Computador Gamer,Eletrônicos,4.0,22000.0
43,2023-10-11,Pinhão 1kg,Alimentos,18.0,450.0
44,2023-10-22,Computador Gamer,Eletrônicos,18.0,99000.0
45,2023-10-26,Café Pelé 500g,Alimentos,8.0,120.0
46,2023-11-07,Notebook,Eletrônicos,15.0,67500.0
47,2023-12-01,Geforce RTX 5090,Eletrônicos,19.0,66500.0
48,2023-12-05,Pinhão 1kg,Alimentos,9.0,225.0
49,2023-12-15,Café Pelé 500g,Alimentos,8.0,120.0
50,2023-12-15,Computador Gamer,Eletrônicos,15.0,82500.0
